term,strongs,book,chapter,verse,word,morph,kjv_verse
παρακαλέω,G3870,2Co,5,20,παρακαλοῦντος,V-PAP-GSM,"Now then we are ambassadors for Christ, as though God did beseech you by us: we pray you in Christ’s stead, be ye reconciled to God."
παρακαλέω,G3870,2Co,6,1,παρακαλοῦμεν,V-PAI-1P,"We then, as workers together with him, beseech you also that ye receive not the grace of God in vain."
παρακαλέω,G3870,2Co,7,6,παρακαλῶν,V-PAP-NSM,"Nevertheless God, that comforteth those that are cast down, comforted us by the coming of Titus;"
παρακαλέω,G3870,2Co,7,6,παρεκάλεσεν,V-AAI-3S,"Nevertheless God, that comforteth those that are cast down, comforted us by the coming of Titus;"
παρακαλέω,G3870,2Co,7,7,παρεκλήθη,V-API-3S,"And not by his coming only, but by the consolation wherewith he was comforted in you, when he told us your earnest desire, your mourning, your fervent mind toward me; so that I rejoiced the more."
παρακαλέω,G3870,2Co,7,13,παρακεκλήμεθα.¶,V-RPI-1P,"Therefore we were comforted in your comfort: yea, and exceedingly the more joyed we for the joy of Titus, because his spirit was refreshed by you all."
παρακαλέω,G3870,2Co,8,6,παρακαλέσαι,V-AAN,"Insomuch that we desired Titus, that as he had begun, so he would also finish in you the same grace also."
παρακαλέω,G3870,2Co,9,5,παρακαλέσαι,V-AAN,"Therefore I thought it necessary to exhort the brethren, that they would go before unto you, and make up beforehand your bounty, whereof ye had notice before, that the same might be ready, as a matter of bounty, and not as of covetousness."
παρακαλέω,G3870,2Co,10,1,παρακαλῶ,V-PAI-1S,"Now I Paul myself beseech you by the meekness and gentleness of Christ, who in presence am base among you, but being absent am bold toward you:"
παρακαλέω,G3870,2Co,12,8,παρεκάλεσα,V-AAI-1S,"For this thing I besought the Lord thrice, that it might depart from me."
παρακαλέω,G3870,2Co,12,18,παρεκάλεσα,V-AAI-1S,"I desired Titus, and with him I sent a brother. Did Titus make a gain of you? walked we not in the same spirit? walked we not in the same steps?"
παρακαλέω,G3870,2Co,13,11,"παρακαλεῖσθε,",V-PPM-2P,"Finally, brethren, farewell. Be perfect, be of good comfort, be of one mind, live in peace; and the God of love and peace shall be with you."
παρακαλέω,G3870,Eph,4,1,Παρακαλῶ,V-PAI-1S,"I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,"
παρακαλέω,G3870,Eph,6,22,παρακαλέσῃ,V-AAS-3S,"Whom I have sent unto you for the same purpose, that ye might know our affairs, and that he might comfort your hearts."
παρακαλέω,G3870,Php,4,2,παρακαλῶ,V-PAI-1S,"I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord."
